Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 68.0.3440.106,"Login, Runs Payroll, Every Page of PR",2018-09-04 10:55:15,2018-09-04 10:57:06,1m - 50.914s,PASSED
,,,,,,
Test Cases/All Pages in PR,Chrome 68.0.3440.106,,2018-09-04 10:55:15,2018-09-04 10:56:38,1m - 22.536s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 10:55:16,2018-09-04 10:55:19,3.391s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 10:55:19,2018-09-04 10:55:22,2.526s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 10:55:22,2018-09-04 10:55:22,0.229s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-04 10:55:22,2018-09-04 10:55:22,0.245s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 10:55:22,2018-09-04 10:55:25,3.118s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 10:55:25,2018-09-04 10:55:26,0.784s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 10:55:26,2018-09-04 10:55:28,1.540s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 10:55:28,2018-09-04 10:55:28,0.136s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-04 10:55:28,2018-09-04 10:55:34,6.027s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 10:55:34,2018-09-04 10:55:34,0.641s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 10:55:34,2018-09-04 10:55:35,0.498s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 10:55:35,2018-09-04 10:55:35,0.558s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 10:55:35,2018-09-04 10:55:36,0.540s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 10:55:36,2018-09-04 10:55:37,0.498s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 10:55:37,2018-09-04 10:55:37,0.550s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 10:55:37,2018-09-04 10:55:38,0.448s,PASSED
