Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 68.0.3440.106,"Login, Runs Payroll, Every Page of PR",2018-08-27 11:03:12,2018-08-27 11:04:29,1m - 16.976s,FAILED
,,,,,,
Test Cases/EveryPage in PR,Chrome 68.0.3440.106,,2018-08-27 11:03:13,2018-08-27 11:03:58,45.633s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 11:03:13,2018-08-27 11:03:17,3.354s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:03:17,2018-08-27 11:03:19,2.558s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 11:03:19,2018-08-27 11:03:20,0.250s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-27 11:03:20,2018-08-27 11:03:20,0.275s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:03:20,2018-08-27 11:03:26,6.235s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:03:26,2018-08-27 11:03:36,9.929s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:03:36,2018-08-27 11:03:38,1.596s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:03:38,2018-08-27 11:03:56,18.550s,FAILED
,,,,,,
Test Cases/Run Payroll,Chrome 68.0.3440.106,,2018-08-27 11:03:58,2018-08-27 11:04:29,30.990s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 11:03:58,2018-08-27 11:04:01,2.978s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:04:01,2018-08-27 11:04:02,0.725s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 11:04:02,2018-08-27 11:04:02,0.187s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-27 11:04:02,2018-08-27 11:04:02,0.166s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:04:02,2018-08-27 11:04:03,0.843s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:04:03,2018-08-27 11:04:07,3.607s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:04:07,2018-08-27 11:04:09,1.697s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:04:09,2018-08-27 11:04:27,18.463s,FAILED
