Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 68.0.3440.106,"Login, Runs Payroll, Every Page of PR",2018-08-30 12:01:20,2018-08-30 12:02:47,1m - 26.660s,FAILED
,,,,,,
Test Cases/All Pages in PR,Chrome 68.0.3440.106,,2018-08-30 12:01:20,2018-08-30 12:02:08,47.602s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-30 12:01:21,2018-08-30 12:01:25,4.110s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:01:25,2018-08-30 12:01:28,2.548s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-30 12:01:28,2018-08-30 12:01:28,0.304s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-30 12:01:28,2018-08-30 12:01:29,0.293s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:01:29,2018-08-30 12:01:35,6.190s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:01:35,2018-08-30 12:01:45,10.139s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:01:45,2018-08-30 12:01:47,1.908s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:01:47,2018-08-30 12:02:06,18.997s,FAILED
,,,,,,
Test Cases/Run Payroll,Chrome 68.0.3440.106,,2018-08-30 12:02:08,2018-08-30 12:02:39,30.634s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-30 12:02:08,2018-08-30 12:02:11,2.743s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:02:11,2018-08-30 12:02:12,0.590s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-30 12:02:12,2018-08-30 12:02:12,0.189s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-30 12:02:12,2018-08-30 12:02:12,0.176s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:02:12,2018-08-30 12:02:13,0.932s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:02:13,2018-08-30 12:02:16,3.377s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:02:16,2018-08-30 12:02:18,1.731s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:02:18,2018-08-30 12:02:37,18.623s,FAILED
,,,,,,
Test Cases/Loging into QA,Chrome 68.0.3440.106,,2018-08-30 12:02:39,2018-08-30 12:02:47,8.048s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-30 12:02:39,2018-08-30 12:02:42,2.953s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:02:42,2018-08-30 12:02:42,0.536s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-30 12:02:42,2018-08-30 12:02:43,0.199s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-30 12:02:43,2018-08-30 12:02:43,0.272s,PASSED
click,Chrome 68.0.3440.106,Clicks on the login button ,2018-08-30 12:02:43,2018-08-30 12:02:44,1.084s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-30 12:02:44,2018-08-30 12:02:45,0.673s,PASSED
