Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 68.0.3440.106,"Login, Runs Payroll, Every Page of PR",2018-08-30 12:04:33,2018-08-30 12:05:04,30.832s,FAILED
,,,,,,
Test Cases/All Pages in PR,Chrome 68.0.3440.106,,2018-08-30 12:04:33,2018-08-30 12:05:04,30.494s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-30 12:04:34,2018-08-30 12:04:37,3.274s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:04:37,2018-08-30 12:04:38,0.531s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-30 12:04:38,2018-08-30 12:04:38,0.243s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-30 12:04:38,2018-08-30 12:04:38,0.257s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:04:38,2018-08-30 12:04:39,0.877s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:04:39,2018-08-30 12:04:40,0.516s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:04:40,2018-08-30 12:04:42,1.687s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:04:42,2018-08-30 12:05:02,20.243s,FAILED
