Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 68.0.3440.106,"Login, Runs Payroll, Every Page of PR",2018-08-30 12:07:57,2018-08-30 12:18:54,10m - 56.907s,FAILED
,,,,,,
Test Cases/All Pages in PR,Chrome 68.0.3440.106,,2018-08-30 12:07:58,2018-08-30 12:18:54,10m - 56.577s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-30 12:07:58,2018-08-30 12:08:02,3.441s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:08:02,2018-08-30 12:08:02,0.513s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-30 12:08:02,2018-08-30 12:08:03,0.249s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-30 12:08:03,2018-08-30 12:08:03,0.292s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:08:03,2018-08-30 12:08:04,0.887s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:08:04,2018-08-30 12:08:04,0.715s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:08:04,2018-08-30 12:08:06,1.796s,PASSED
click,Chrome 68.0.3440.106,,2018-08-30 12:08:06,2018-08-30 12:08:27,21.114s,FAILED
delay,Chrome 68.0.3440.106,,2018-08-30 12:08:27,2018-08-30 12:08:33,6.021s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:08:33,2018-08-30 12:08:41,8.036s,FAILED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:08:41,2018-08-30 12:08:50,8.047s,FAILED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:08:50,2018-08-30 12:08:58,8.036s,FAILED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:08:58,2018-08-30 12:09:06,8.093s,FAILED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:09:06,2018-08-30 12:09:14,8.049s,FAILED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:09:14,2018-08-30 12:09:22,8.056s,FAILED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:09:22,2018-08-30 12:09:30,8.035s,FAILED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:09:30,2018-08-30 12:09:38,8.046s,FAILED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:09:38,2018-08-30 12:09:46,8.027s,FAILED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:09:46,2018-08-30 12:09:54,8.042s,FAILED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-30 12:09:54,2018-08-30 12:10:02,8.058s,FAILED
