Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 68.0.3440.106,"Login, Runs Payroll, Every Page of PR",2018-08-28 16:50:37,2018-08-28 16:52:36,1m - 59.296s,PASSED
,,,,,,
Test Cases/All Pages in PR,Chrome 68.0.3440.106,,2018-08-28 16:50:37,2018-08-28 16:52:07,1m - 30.211s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 16:50:38,2018-08-28 16:50:42,4.236s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:42,2018-08-28 16:50:43,1.046s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 16:50:43,2018-08-28 16:50:44,0.630s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-28 16:50:44,2018-08-28 16:50:45,0.762s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 16:50:45,2018-08-28 16:50:46,1.041s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 16:50:46,2018-08-28 16:50:47,0.917s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 16:50:47,2018-08-28 16:50:48,1.671s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 16:50:48,2018-08-28 16:50:49,0.124s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-28 16:50:49,2018-08-28 16:50:54,5.032s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:54,2018-08-28 16:50:54,0.791s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:54,2018-08-28 16:50:55,0.553s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:55,2018-08-28 16:50:56,0.539s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:56,2018-08-28 16:50:56,0.552s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:56,2018-08-28 16:50:57,0.566s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:57,2018-08-28 16:50:57,0.597s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:57,2018-08-28 16:50:58,0.446s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:58,2018-08-28 16:50:58,0.454s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:58,2018-08-28 16:50:59,0.457s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:59,2018-08-28 16:50:59,0.494s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:50:59,2018-08-28 16:50:59,0.422s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-28 16:50:59,2018-08-28 16:51:02,2.006s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:51:02,2018-08-28 16:51:04,2.633s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:51:04,2018-08-28 16:51:05,0.557s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:51:05,2018-08-28 16:51:05,0.468s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:51:05,2018-08-28 16:51:06,0.470s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-28 16:51:06,2018-08-28 16:51:08,2.009s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 16:51:08,2018-08-28 16:51:08,0.465s,PASSED
