Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 69.0.3497.100,"Login, Runs Payroll, Every Page of PR",2018-09-21 13:33:52,2018-09-21 13:36:33,2m - 40.797s,FAILED
,,,,,,
Test Cases/All Pages in PR,Chrome 69.0.3497.100,,2018-09-21 13:33:52,2018-09-21 13:35:44,1m - 51.977s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-09-21 13:33:53,2018-09-21 13:33:56,3.469s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-21 13:33:56,2018-09-21 13:33:57,0.547s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-21 13:33:57,2018-09-21 13:33:57,0.249s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-21 13:33:57,2018-09-21 13:33:58,0.250s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 13:33:58,2018-09-21 13:33:59,0.982s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 13:33:59,2018-09-21 13:34:01,2.572s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 13:34:01,2018-09-21 13:34:01,0.203s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 13:34:01,2018-09-21 13:34:22,21.158s,FAILED
delay,Chrome 69.0.3497.100,,2018-09-21 13:34:22,2018-09-21 13:34:28,6.024s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-21 13:34:28,2018-09-21 13:34:29,0.642s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-21 13:34:29,2018-09-21 13:34:30,0.741s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-21 13:34:30,2018-09-21 13:34:30,0.123s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-21 13:34:30,2018-09-21 13:34:30,0.074s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-21 13:34:30,2018-09-21 13:34:31,0.902s,PASSED
