Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 68.0.3440.106,"Login, Runs Payroll, Every Page of PR",2018-08-27 11:05:00,2018-08-27 11:06:09,1m - 8.156s,FAILED
,,,,,,
Test Cases/EveryPage in PR,Chrome 68.0.3440.106,,2018-08-27 11:05:01,2018-08-27 11:05:33,32.033s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 11:05:02,2018-08-27 11:05:05,3.308s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:05:05,2018-08-27 11:05:05,0.560s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 11:05:05,2018-08-27 11:05:06,0.267s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-27 11:05:06,2018-08-27 11:05:06,0.326s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:05:06,2018-08-27 11:05:07,1.021s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:05:07,2018-08-27 11:05:08,0.539s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:05:08,2018-08-27 11:05:09,1.681s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:05:09,2018-08-27 11:05:31,21.505s,FAILED
,,,,,,
Test Cases/Run Payroll,Chrome 68.0.3440.106,,2018-08-27 11:05:33,2018-08-27 11:06:01,28.228s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 11:05:33,2018-08-27 11:05:36,2.948s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:05:36,2018-08-27 11:05:37,0.601s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 11:05:37,2018-08-27 11:05:37,0.222s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-27 11:05:37,2018-08-27 11:05:37,0.190s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:05:37,2018-08-27 11:05:38,0.835s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:05:38,2018-08-27 11:05:38,0.491s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:05:38,2018-08-27 11:05:40,1.720s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 11:05:40,2018-08-27 11:05:59,18.885s,FAILED
,,,,,,
Test Cases/TwoFactor Test Case,Chrome 68.0.3440.106,,2018-08-27 11:06:01,2018-08-27 11:06:09,7.546s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 11:06:01,2018-08-27 11:06:04,2.755s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 11:06:04,2018-08-27 11:06:05,0.564s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 11:06:05,2018-08-27 11:06:05,0.192s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-27 11:06:05,2018-08-27 11:06:05,0.177s,PASSED
click,Chrome 68.0.3440.106,Clicks on the login button ,2018-08-27 11:06:05,2018-08-27 11:06:06,0.843s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-27 11:06:06,2018-08-27 11:06:07,0.666s,PASSED
