Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 68.0.3440.106,"Login, Runs Payroll, Every Page of PR",2018-08-27 10:18:08,2018-08-27 10:19:51,1m - 42.296s,PASSED
,,,,,,
Test Cases/EveryPage in PR,Chrome 68.0.3440.106,,2018-08-27 10:18:09,2018-08-27 10:19:26,1m - 17.646s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 10:18:09,2018-08-27 10:18:13,3.433s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:13,2018-08-27 10:18:14,0.709s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 10:18:14,2018-08-27 10:18:14,0.281s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-27 10:18:14,2018-08-27 10:18:14,0.336s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 10:18:14,2018-08-27 10:18:15,0.936s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 10:18:15,2018-08-27 10:18:16,0.763s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 10:18:16,2018-08-27 10:18:17,1.651s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 10:18:17,2018-08-27 10:18:18,0.131s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 10:18:18,2018-08-27 10:18:21,3.024s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:21,2018-08-27 10:18:23,2.700s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:23,2018-08-27 10:18:24,0.461s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:24,2018-08-27 10:18:24,0.454s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:24,2018-08-27 10:18:25,0.532s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:25,2018-08-27 10:18:26,0.864s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:26,2018-08-27 10:18:26,0.553s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:26,2018-08-27 10:18:27,0.463s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:27,2018-08-27 10:18:27,0.566s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:27,2018-08-27 10:18:28,0.530s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:28,2018-08-27 10:18:28,0.474s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:28,2018-08-27 10:18:29,0.458s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 10:18:29,2018-08-27 10:18:31,2.007s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:31,2018-08-27 10:18:31,0.548s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:31,2018-08-27 10:18:32,0.538s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:32,2018-08-27 10:18:32,0.436s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:32,2018-08-27 10:18:33,0.416s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 10:18:33,2018-08-27 10:18:35,2.005s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:35,2018-08-27 10:18:35,0.459s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:35,2018-08-27 10:18:36,0.567s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:36,2018-08-27 10:18:36,0.711s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:36,2018-08-27 10:18:37,0.524s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:37,2018-08-27 10:18:38,0.699s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:38,2018-08-27 10:18:38,0.447s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:38,2018-08-27 10:18:39,0.498s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 10:18:39,2018-08-27 10:18:41,2.006s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:41,2018-08-27 10:18:41,0.566s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:41,2018-08-27 10:18:42,0.527s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 10:18:42,2018-08-27 10:18:42,0.499s,PASSED
