Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 68.0.3440.106,"Login, Runs Payroll, Every Page of PR",2018-08-27 12:10:49,2018-08-27 12:13:17,2m - 27.926s,PASSED
,,,,,,
Test Cases/All Pages in PR,Chrome 68.0.3440.106,,2018-08-27 12:10:50,2018-08-27 12:12:50,2m - 0.626s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 12:10:50,2018-08-27 12:10:54,3.364s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:10:54,2018-08-27 12:10:54,0.613s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 12:10:54,2018-08-27 12:10:55,0.230s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-27 12:10:55,2018-08-27 12:10:55,0.314s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 12:10:55,2018-08-27 12:11:01,5.847s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 12:11:01,2018-08-27 12:11:06,5.470s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 12:11:06,2018-08-27 12:11:13,6.841s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 12:11:13,2018-08-27 12:11:18,5.170s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:11:18,2018-08-27 12:11:23,5.026s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:23,2018-08-27 12:11:24,0.885s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:24,2018-08-27 12:11:25,0.719s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:25,2018-08-27 12:11:26,0.844s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:26,2018-08-27 12:11:26,0.820s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:26,2018-08-27 12:11:27,0.661s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:27,2018-08-27 12:11:28,0.733s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:28,2018-08-27 12:11:28,0.601s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:28,2018-08-27 12:11:29,0.722s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:29,2018-08-27 12:11:30,0.763s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:30,2018-08-27 12:11:31,0.635s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:31,2018-08-27 12:11:31,0.592s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:11:31,2018-08-27 12:11:33,2.003s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:33,2018-08-27 12:11:34,0.721s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:34,2018-08-27 12:11:34,0.593s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:34,2018-08-27 12:11:35,0.552s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:35,2018-08-27 12:11:36,0.599s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:11:36,2018-08-27 12:11:38,2.006s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:38,2018-08-27 12:11:38,0.727s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:38,2018-08-27 12:11:39,0.755s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:39,2018-08-27 12:11:40,0.975s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:40,2018-08-27 12:11:41,0.843s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:41,2018-08-27 12:11:42,0.747s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:42,2018-08-27 12:11:42,0.604s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:42,2018-08-27 12:11:43,0.818s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:11:43,2018-08-27 12:11:45,2.005s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:45,2018-08-27 12:11:46,0.843s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:46,2018-08-27 12:11:47,0.686s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:47,2018-08-27 12:11:47,0.607s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:47,2018-08-27 12:11:48,0.633s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:48,2018-08-27 12:11:49,0.691s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:49,2018-08-27 12:11:49,0.701s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:11:49,2018-08-27 12:11:51,2.006s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:51,2018-08-27 12:11:52,0.819s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:52,2018-08-27 12:11:53,0.739s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:53,2018-08-27 12:11:54,0.983s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:54,2018-08-27 12:11:55,0.745s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:55,2018-08-27 12:11:55,0.639s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:55,2018-08-27 12:11:56,0.701s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:56,2018-08-27 12:11:57,0.647s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:11:57,2018-08-27 12:11:59,2.006s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:59,2018-08-27 12:11:59,0.597s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:11:59,2018-08-27 12:12:00,0.669s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:00,2018-08-27 12:12:00,0.610s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:00,2018-08-27 12:12:01,0.617s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:01,2018-08-27 12:12:02,0.630s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:12:02,2018-08-27 12:12:04,2.005s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:04,2018-08-27 12:12:04,0.506s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:04,2018-08-27 12:12:05,0.961s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:05,2018-08-27 12:12:06,0.842s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:06,2018-08-27 12:12:07,0.545s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:12:07,2018-08-27 12:12:09,2.007s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:09,2018-08-27 12:12:09,0.540s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:09,2018-08-27 12:12:10,0.568s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:10,2018-08-27 12:12:10,0.680s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:10,2018-08-27 12:12:11,0.527s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:11,2018-08-27 12:12:11,0.478s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:11,2018-08-27 12:12:12,0.475s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:12,2018-08-27 12:12:12,0.445s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:12,2018-08-27 12:12:13,0.567s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:13,2018-08-27 12:12:14,0.650s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:12:14,2018-08-27 12:12:16,2.012s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:16,2018-08-27 12:12:16,0.682s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:16,2018-08-27 12:12:17,0.484s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:17,2018-08-27 12:12:17,0.441s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:17,2018-08-27 12:12:18,0.494s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:18,2018-08-27 12:12:18,0.478s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:18,2018-08-27 12:12:18,0.377s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:12:18,2018-08-27 12:12:20,2.004s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:20,2018-08-27 12:12:21,0.490s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:21,2018-08-27 12:12:21,0.427s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:21,2018-08-27 12:12:22,0.605s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:22,2018-08-27 12:12:22,0.386s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:22,2018-08-27 12:12:23,0.399s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:23,2018-08-27 12:12:23,0.433s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:23,2018-08-27 12:12:24,0.859s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:12:24,2018-08-27 12:12:26,2.003s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:26,2018-08-27 12:12:27,0.431s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:27,2018-08-27 12:12:27,0.563s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:27,2018-08-27 12:12:28,0.641s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:28,2018-08-27 12:12:28,0.513s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:28,2018-08-27 12:12:29,0.627s,PASSED
delay,Chrome 68.0.3440.106,,2018-08-27 12:12:29,2018-08-27 12:12:31,2.004s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 12:12:31,2018-08-27 12:12:36,5.170s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 12:12:36,2018-08-27 12:12:42,5.864s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 12:12:42,2018-08-27 12:12:47,5.187s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-27 12:12:47,2018-08-27 12:12:48,0.794s,PASSED
,,,,,,
Test Cases/Run Payroll,Chrome 68.0.3440.106,,2018-08-27 12:12:50,2018-08-27 12:13:09,19.340s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 12:12:50,2018-08-27 12:12:52,2.066s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 12:12:52,2018-08-27 12:12:53,0.508s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 12:12:53,2018-08-27 12:12:53,0.168s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-27 12:12:53,2018-08-27 12:12:53,0.166s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 12:12:53,2018-08-27 12:12:54,0.961s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 12:12:54,2018-08-27 12:12:55,0.486s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 12:12:55,2018-08-27 12:12:56,1.716s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 12:12:56,2018-08-27 12:12:57,0.115s,PASSED
