Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
August Demo,Chrome 68.0.3440.106,"Login, Runs Payroll, Every Page of PR",2018-08-29 12:08:36,2018-08-29 12:09:43,1m - 6.671s,FAILED
,,,,,,
Test Cases/All Pages in PR,Chrome 68.0.3440.106,,2018-08-29 12:08:36,2018-08-29 12:09:07,30.591s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-29 12:08:37,2018-08-29 12:08:41,4.040s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-29 12:08:41,2018-08-29 12:08:42,0.585s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-29 12:08:42,2018-08-29 12:08:42,0.280s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-29 12:08:42,2018-08-29 12:08:43,0.289s,PASSED
click,Chrome 68.0.3440.106,,2018-08-29 12:08:43,2018-08-29 12:08:44,0.963s,PASSED
click,Chrome 68.0.3440.106,,2018-08-29 12:08:44,2018-08-29 12:08:44,0.822s,PASSED
click,Chrome 68.0.3440.106,,2018-08-29 12:08:44,2018-08-29 12:08:46,1.868s,PASSED
click,Chrome 68.0.3440.106,,2018-08-29 12:08:46,2018-08-29 12:09:05,18.675s,FAILED
,,,,,,
Test Cases/Run Payroll,Chrome 68.0.3440.106,,2018-08-29 12:09:07,2018-08-29 12:09:35,27.992s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-29 12:09:07,2018-08-29 12:09:10,3.016s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-29 12:09:10,2018-08-29 12:09:11,0.550s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-29 12:09:11,2018-08-29 12:09:11,0.191s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-29 12:09:11,2018-08-29 12:09:11,0.180s,PASSED
click,Chrome 68.0.3440.106,,2018-08-29 12:09:11,2018-08-29 12:09:12,0.809s,PASSED
click,Chrome 68.0.3440.106,,2018-08-29 12:09:12,2018-08-29 12:09:13,0.706s,PASSED
click,Chrome 68.0.3440.106,,2018-08-29 12:09:13,2018-08-29 12:09:14,1.611s,PASSED
click,Chrome 68.0.3440.106,,2018-08-29 12:09:14,2018-08-29 12:09:33,18.590s,FAILED
,,,,,,
Test Cases/Loging into QA,Chrome 68.0.3440.106,,2018-08-29 12:09:35,2018-08-29 12:09:43,7.691s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-29 12:09:35,2018-08-29 12:09:38,2.961s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-29 12:09:38,2018-08-29 12:09:39,0.558s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-29 12:09:39,2018-08-29 12:09:39,0.187s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-29 12:09:39,2018-08-29 12:09:39,0.176s,PASSED
click,Chrome 68.0.3440.106,Clicks on the login button ,2018-08-29 12:09:39,2018-08-29 12:09:40,0.893s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-29 12:09:40,2018-08-29 12:09:41,0.656s,PASSED
